timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732124508218,6209,360view,200,OK,Thread Group 1-35,text,true,,82583,130,50,50,https://www.sathyabama.ac.in/360view,6175,0,0
1732124508295,6263,360view,200,OK,Thread Group 1-38,text,true,,82581,130,50,50,https://www.sathyabama.ac.in/360view,6245,0,0
1732124508308,6499,360view,200,OK,Thread Group 1-33,text,true,,82594,130,50,50,https://www.sathyabama.ac.in/360view,6465,0,0
1732124508385,6630,360view,200,OK,Thread Group 1-39,text,true,,82583,130,50,50,https://www.sathyabama.ac.in/360view,6615,0,0
1732124508751,6610,360view,200,OK,Thread Group 1-40,text,true,,82583,130,50,50,https://www.sathyabama.ac.in/360view,6595,0,0
1732124509366,6097,overview,200,OK,Thread Group 1-17,text,true,,84437,134,50,50,https://www.sathyabama.ac.in/campus-life,6088,0,0
1732124509430,6100,overview,200,OK,Thread Group 1-15,text,true,,84440,134,50,50,https://www.sathyabama.ac.in/campus-life,6085,0,0
1732124509328,6262,360view,200,OK,Thread Group 1-41,text,true,,82581,130,50,50,https://www.sathyabama.ac.in/360view,6247,0,0
1732124509312,6328,360view,200,OK,Thread Group 1-42,text,true,,82584,130,50,50,https://www.sathyabama.ac.in/360view,6308,0,0
1732124509528,6473,360view,200,OK,Thread Group 1-43,text,true,,82585,130,50,50,https://www.sathyabama.ac.in/360view,6458,0,0
1732124509642,6371,overview,200,OK,Thread Group 1-16,text,true,,84447,134,50,50,https://www.sathyabama.ac.in/campus-life,6360,0,0
1732124509908,6198,360view,200,OK,Thread Group 1-46,text,true,,82577,130,50,50,https://www.sathyabama.ac.in/360view,6181,0,0
1732124509694,6574,360view,200,OK,Thread Group 1-44,text,true,,82588,130,50,50,https://www.sathyabama.ac.in/360view,6547,0,0
1732124509995,6450,360view,200,OK,Thread Group 1-48,text,true,,82581,130,50,50,https://www.sathyabama.ac.in/360view,6435,0,0
1732124509646,6928,overview,200,OK,Thread Group 1-14,text,true,,84433,134,50,50,https://www.sathyabama.ac.in/campus-life,6915,0,0
1732124510435,6271,360view,200,OK,Thread Group 1-47,text,true,,82582,130,50,50,https://www.sathyabama.ac.in/360view,6245,0,0
1732124510440,6300,360view,200,OK,Thread Group 1-50,text,true,,82581,130,50,50,https://www.sathyabama.ac.in/360view,6283,0,0
1732124510518,6391,360view,200,OK,Thread Group 1-45,text,true,,82590,130,50,50,https://www.sathyabama.ac.in/360view,6338,0,0
1732124510768,6197,Culturals,200,OK,Thread Group 1-5,text,true,,109450,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6166,0,0
1732124510828,6373,360view,200,OK,Thread Group 1-49,text,true,,82587,130,50,50,https://www.sathyabama.ac.in/360view,6332,0,0
1732124510791,6415,Culturals,200,OK,Thread Group 1-6,text,true,,109440,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6385,0,0
1732124511061,6150,ourCampus,200,OK,Thread Group 1-11,text,true,,85689,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6130,0,0
1732124510906,6324,Culturals,200,OK,Thread Group 1-3,text,true,,109446,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6305,0,0
1732124511286,5997,ourCampus,200,OK,Thread Group 1-12,text,true,,85690,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,5975,0,0
1732124511310,6302,Culturals,200,OK,Thread Group 1-4,text,true,,109445,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6275,0,0
1732124511159,6453,ourCampus,200,OK,Thread Group 1-13,text,true,,85690,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6443,0,0
1732124511288,6343,Culturals,200,OK,Thread Group 1-1,text,true,,109440,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6327,0,0
1732124511610,6167,overview,200,OK,Thread Group 1-18,text,true,,84434,134,50,50,https://www.sathyabama.ac.in/campus-life,6153,0,0
1732124511857,6321,overview,200,OK,Thread Group 1-20,text,true,,84442,134,50,50,https://www.sathyabama.ac.in/campus-life,6306,0,0
1732124512481,6073,overview,200,OK,Thread Group 1-24,text,true,,84449,134,50,50,https://www.sathyabama.ac.in/campus-life,6065,0,0
1732124512551,6077,Culturals,200,OK,Thread Group 1-2,text,true,,109449,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6051,0,0
1732124512509,6122,overview,200,OK,Thread Group 1-23,text,true,,84440,134,50,50,https://www.sathyabama.ac.in/campus-life,6102,0,0
1732124512508,6218,ourCampus,200,OK,Thread Group 1-7,text,true,,85685,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6205,0,0
1732124512559,6305,overview,200,OK,Thread Group 1-19,text,true,,84432,134,50,50,https://www.sathyabama.ac.in/campus-life,6284,0,0
1732124512797,6209,overview,200,OK,Thread Group 1-26,text,true,,84444,134,50,50,https://www.sathyabama.ac.in/campus-life,6188,0,0
1732124512822,6290,overview,200,OK,Thread Group 1-22,text,true,,84440,134,50,50,https://www.sathyabama.ac.in/campus-life,6273,0,0
1732124513062,6143,overview,200,OK,Thread Group 1-27,text,true,,84437,134,50,50,https://www.sathyabama.ac.in/campus-life,6130,0,0
1732124513011,6251,Culturals,200,OK,Thread Group 1-8,text,true,,109443,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6225,0,0
1732124512826,6540,overview,200,OK,Thread Group 1-25,text,true,,84438,134,50,50,https://www.sathyabama.ac.in/campus-life,6525,0,0
1732124513437,5983,overview,200,OK,Thread Group 1-28,text,true,,84438,134,50,50,https://www.sathyabama.ac.in/campus-life,5971,0,0
1732124513544,6300,Culturals,200,OK,Thread Group 1-10,text,true,,109459,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6283,0,0
1732124513646,6216,Culturals,200,OK,Thread Group 1-9,text,true,,109442,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6201,0,0
1732124513674,6290,ourCampus,200,OK,Thread Group 1-21,text,true,,85690,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6273,0,0
1732124514009,6268,overview,200,OK,Thread Group 1-31,text,true,,84439,134,50,50,https://www.sathyabama.ac.in/campus-life,6229,0,0
1732124513752,6526,overview,200,OK,Thread Group 1-29,text,true,,84434,134,50,50,https://www.sathyabama.ac.in/campus-life,6496,0,0
1732124514072,6209,overview,200,OK,Thread Group 1-36,text,true,,84430,134,50,50,https://www.sathyabama.ac.in/campus-life,6195,0,0
1732124513921,6374,overview,200,OK,Thread Group 1-30,text,true,,84432,134,50,50,https://www.sathyabama.ac.in/campus-life,6366,0,0
1732124514234,6105,overview,200,OK,Thread Group 1-34,text,true,,84433,134,50,50,https://www.sathyabama.ac.in/campus-life,6094,0,0
1732124514265,6383,overview,200,OK,Thread Group 1-32,text,true,,84444,134,50,50,https://www.sathyabama.ac.in/campus-life,6362,0,0
1732124514314,6335,overview,200,OK,Thread Group 1-37,text,true,,84442,134,50,50,https://www.sathyabama.ac.in/campus-life,6322,0,0
1732124514428,6302,overview,200,OK,Thread Group 1-35,text,true,,84431,134,50,50,https://www.sathyabama.ac.in/campus-life,6287,0,0
1732124514559,6205,overview,200,OK,Thread Group 1-38,text,true,,84437,134,50,50,https://www.sathyabama.ac.in/campus-life,6188,0,0
1732124514808,6529,overview,200,OK,Thread Group 1-33,text,true,,84446,134,50,50,https://www.sathyabama.ac.in/campus-life,6520,0,0
1732124515464,6149,ourCampus,200,OK,Thread Group 1-17,text,true,,85694,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6125,0,0
1732124515016,6602,overview,200,OK,Thread Group 1-39,text,true,,84434,134,50,50,https://www.sathyabama.ac.in/campus-life,6586,0,0
1732124515362,6300,overview,200,OK,Thread Group 1-40,text,true,,84443,134,50,50,https://www.sathyabama.ac.in/campus-life,6277,0,0
1732124515592,6331,overview,200,OK,Thread Group 1-41,text,true,,84437,134,50,50,https://www.sathyabama.ac.in/campus-life,6316,0,0
1732124515532,6422,ourCampus,200,OK,Thread Group 1-15,text,true,,85699,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6405,0,0
1732124515641,6427,overview,200,OK,Thread Group 1-42,text,true,,84438,134,50,50,https://www.sathyabama.ac.in/campus-life,6416,0,0
1732124516002,6105,overview,200,OK,Thread Group 1-43,text,true,,84437,134,50,50,https://www.sathyabama.ac.in/campus-life,6090,0,0
1732124516014,6207,ourCampus,200,OK,Thread Group 1-16,text,true,,85697,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6183,0,0
1732124516108,6291,overview,200,OK,Thread Group 1-46,text,true,,84433,134,50,50,https://www.sathyabama.ac.in/campus-life,6279,0,0
1732124516269,6154,overview,200,OK,Thread Group 1-44,text,true,,84431,134,50,50,https://www.sathyabama.ac.in/campus-life,6134,0,0
1732124516446,6101,overview,200,OK,Thread Group 1-48,text,true,,84430,134,50,50,https://www.sathyabama.ac.in/campus-life,6089,0,0
1732124516575,6247,ourCampus,200,OK,Thread Group 1-14,text,true,,85690,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6232,0,0
1732124516708,6496,overview,200,OK,Thread Group 1-47,text,true,,84440,134,50,50,https://www.sathyabama.ac.in/campus-life,6487,0,0
1732124517212,6047,Culturals,200,OK,Thread Group 1-11,text,true,,109440,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6021,0,0
1732124517208,6051,AuditoriamAndConfressHall,200,OK,Thread Group 1-6,text,true,,89032,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6020,0,0
1732124517202,6075,overview,200,OK,Thread Group 1-49,text,true,,84435,134,50,50,https://www.sathyabama.ac.in/campus-life,6060,0,0
1732124516742,6564,overview,200,OK,Thread Group 1-50,text,true,,84444,134,50,50,https://www.sathyabama.ac.in/campus-life,6544,0,0
1732124516910,6399,overview,200,OK,Thread Group 1-45,text,true,,84444,134,50,50,https://www.sathyabama.ac.in/campus-life,6388,0,0
1732124516967,6420,AuditoriamAndConfressHall,200,OK,Thread Group 1-5,text,true,,89046,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6400,0,0
1732124517284,6399,Culturals,200,OK,Thread Group 1-12,text,true,,109449,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6383,0,0
1732124517231,6509,AuditoriamAndConfressHall,200,OK,Thread Group 1-3,text,true,,89030,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6490,0,0
1732124517613,6218,AuditoriamAndConfressHall,200,OK,Thread Group 1-4,text,true,,89030,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6204,0,0
1732124517614,6306,Culturals,200,OK,Thread Group 1-13,text,true,,109444,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6289,0,0
1732124517633,6849,AuditoriamAndConfressHall,200,OK,Thread Group 1-1,text,true,,89041,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6836,0,0
1732124518179,6480,ourCampus,200,OK,Thread Group 1-20,text,true,,85692,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6450,0,0
1732124517778,6918,ourCampus,200,OK,Thread Group 1-18,text,true,,85686,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6904,0,0
1732124518556,6192,ourCampus,200,OK,Thread Group 1-24,text,true,,85685,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6182,0,0
1732124518629,6213,AuditoriamAndConfressHall,200,OK,Thread Group 1-2,text,true,,89040,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6197,0,0
1732124518632,6290,ourCampus,200,OK,Thread Group 1-23,text,true,,85698,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6275,0,0
1732124518865,6238,ourCampus,200,OK,Thread Group 1-19,text,true,,85697,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6222,0,0
1732124518728,6584,Culturals,200,OK,Thread Group 1-7,text,true,,109446,151,50,50,https://www.sathyabama.ac.in/campus-life/arts-and-culture,6565,0,0
1732124519007,6385,ourCampus,200,OK,Thread Group 1-26,text,true,,85694,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6364,0,0
1732124519113,6310,ourCampus,200,OK,Thread Group 1-22,text,true,,85697,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6295,0,0
1732124519206,6364,ourCampus,200,OK,Thread Group 1-27,text,true,,85692,150,50,50,https://www.sathyabama.ac.in/campus-life/academic-blocks,6347,0,0
1732124519263,6340,AuditoriamAndConfressHall,200,OK,Thread Group 1-8,text,true,,89055,166,50,50,https://www.sathyabama.ac.in/campus-life/auditoriums-conference-facility,6323,0,0
